feature,mean_abs_delta_prob_1
worst area,0.13244189942876497
worst radius,0.0868174444573621
area error,0.08031364584652086
mean concave points,0.055614468568819575
worst fractal dimension,0.044904242534528294
worst symmetry,0.04165581932503907
mean radius,0.040226387907750905
mean fractal dimension,0.03758010717782175
mean symmetry,0.03691229280514108
worst concavity,0.036405042316194645
