feature,delta_brier
area error,0.032241569831967354
worst area,0.029202362522482872
worst radius,0.022499749436974525
mean concave points,0.01604778878390789
mean compactness,0.013850400224328041
worst concave points,0.012784196063876152
worst perimeter,0.012371594086289406
worst smoothness,0.011727137491106987
worst concavity,0.009791327640414238
compactness error,0.008673230186104774
